intersection,first_approach,second_approach,third_approach,go_live_date,latitude,longitude,location
Pulaski-Diversey,SB,NB,,2009-05-15T00:00:00,41.93179,-87.72698,"{'needs_recoding': False, 'longitude': '-87.726979', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.931791'}"
Pulaski-Foster,SB,WB,,2007-10-18T00:00:00,41.97553,-87.72823,"{'needs_recoding': False, 'longitude': '-87.728234', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.975532'}"
Cicero-Fullerton,SB,WB,,2006-02-25T00:00:00,41.92424,-87.7463,"{'needs_recoding': False, 'longitude': '-87.746302', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.924237'}"
Harlem-Belmont,NB,WB,,2007-06-18T00:00:00,41.938,-87.80675,"{'needs_recoding': False, 'longitude': '-87.806746', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.937997'}"
Narragansett-Fullerton,EB,WB,,2008-11-14T00:00:00,41.92368,-87.78544,"{'needs_recoding': False, 'longitude': '-87.785441', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.923676'}"
Western-Montrose,NB,WB,,2008-08-26T00:00:00,41.96131,-87.68868,"{'needs_recoding': False, 'longitude': '-87.688681', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.961313'}"
Halsted-Madison,NB,SB,,2008-06-14T00:00:00,41.88178,-87.64736,"{'needs_recoding': False, 'longitude': '-87.647361', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.881776'}"
State-75th,NB,WB,,2009-08-28T00:00:00,41.75818,-87.62476,"{'needs_recoding': False, 'longitude': '-87.624757', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.75818'}"
Western-79th,NB,WB,,2007-05-07T00:00:00,41.7501,-87.68285,"{'needs_recoding': False, 'longitude': '-87.682847', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.750101'}"
California-Irving Park,WB,EB,,2008-08-26T00:00:00,41.95397,-87.69824,"{'needs_recoding': False, 'longitude': '-87.69824', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.953973'}"
Cicero-Chicago,NB,EB,,2007-10-05T00:00:00,41.895,-87.74581,"{'needs_recoding': False, 'longitude': '-87.745805', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.895003'}"
Cicero-Archer,NB,WB,,2007-11-13T00:00:00,41.79866,-87.74293,"{'needs_recoding': False, 'longitude': '-87.742927', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.798659'}"
Austin-Addison,EB,NB,,2008-06-28T00:00:00,41.94577,-87.7765,"{'needs_recoding': False, 'longitude': '-87.776504', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.945771'}"
LaSalle-Kinzie,NB,EB,,2004-04-30T00:00:00,41.88919,-87.63253,"{'needs_recoding': False, 'longitude': '-87.632526', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.889187'}"
Broadway-Foster,NB,EB,,2007-10-18T00:00:00,41.97632,-87.65987,"{'needs_recoding': False, 'longitude': '-87.659867', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.976323'}"
Clark-Ridge,NB,SB,,2008-07-23T00:00:00,41.9897,-87.66998,"{'needs_recoding': False, 'longitude': '-87.669985', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.989697'}"
Kedzie-31st,SB,WB,,2008-05-23T00:00:00,41.83723,-87.70482,"{'needs_recoding': False, 'longitude': '-87.704823', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.837231'}"
Pulaski-55th,SB,WB,,2004-11-19T00:00:00,41.79321,-87.72316,"{'needs_recoding': False, 'longitude': '-87.72316', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.793205'}"
Ashland-Cortland,NB,EB,,2006-02-26T00:00:00,41.91613,-87.6678,"{'needs_recoding': False, 'longitude': '-87.6678', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.916128'}"
California-Diversey,NB,WB,EB,2006-01-31T00:00:00,41.9321,-87.69762,"{'needs_recoding': False, 'longitude': '-87.697616', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.932096'}"
Damen-63rd,NB,SB,,2008-05-31T00:00:00,41.77931,-87.67391,"{'needs_recoding': False, 'longitude': '-87.673906', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.779315'}"
Laramie-Madison,EB,WB,,2011-05-11T00:00:00,41.88037,-87.75507,"{'needs_recoding': False, 'longitude': '-87.755065', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.880371'}"
Pulaski-Archer-50th,EB,WB,,2007-10-31T00:00:00,41.80232,-87.72342,"{'needs_recoding': False, 'longitude': '-87.723422', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.802317'}"
Kostner-Grand-North,EB,NB,SB,2004-03-11T00:00:00,41.90975,-87.73626,"{'needs_recoding': False, 'longitude': '-87.736262', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.909754'}"
Cicero-North,EB,WB,,2008-05-31T00:00:00,41.90963,-87.74611,"{'needs_recoding': False, 'longitude': '-87.746112', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.909626'}"
Kedzie-71st,SB,WB,,2009-09-17T00:00:00,41.76439,-87.70281,"{'needs_recoding': False, 'longitude': '-87.702811', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.76439'}"
Clark-Chicago,EB,WB,,2010-10-22T00:00:00,41.89664,-87.63124,"{'needs_recoding': False, 'longitude': '-87.631243', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.896635'}"
Kedzie-Armitage,SB,WB,,2009-01-23T00:00:00,41.9174,-87.70696,"{'needs_recoding': False, 'longitude': '-87.706965', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.917402'}"
Pulaski-Lawrence,SB,EB,,2008-07-31T00:00:00,41.96824,-87.72803,"{'needs_recoding': False, 'longitude': '-87.728027', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.968242'}"
Ashland-95th,SB,EB,,2009-06-26T00:00:00,41.72121,-87.66268,
